Mes,Precio €/m2,Variación mensual (%),Variación trimestral (%),Variación anual (%)
,2.154,-3.0,-14.0,-44.0
,2.161,-6.0,-18.0,-38.0
,2.174,-2.0,-12.0,-22.0
,2.178,-6.0,-7.0,-18.0
,2.191,2.0,11.0,-3.0
,2.187,3.0,6.0,2.0
,2.126,-22.0,-45.0,-101.0
,2.187,3.0,6.0,2.0
,2.191,2.0,11.0,-3.0
,2.178,-6.0,-7.0,-18.0
,2.174,-2.0,-12.0,-22.0
,2.161,-6.0,-18.0,-38.0
,2.154,-3.0,-14.0,-44.0
,2.142,-6.0,-27.0,-62.0
,2.143,1.0,-26.0,-68.0
,2.126,-8.0,-18.0,-76.0
,2.077,-22.0,-45.0,-101.0
,2.066,-5.0,-40.0,-101.0
,2.017,-23.0,-58.0,-113.0
,2.195,5.0,14.0,21.0
,2.199,2.0,9.0,18.0
,2.203,2.0,9.0,15.0
,2.207,2.0,7.0,12.0
,2.21,1.0,5.0,9.0
,2.213,1.0,5.0,7.0
,2.215,1.0,2.0,4.0
,2.217,1.0,1.0,2.0
,2.218,0.0,-1.0,0.0
,2.218,0.0,-2.0,-2.0
,2.218,0.0,-5.0,-4.0
,2.218,0.0,-6.0,-6.0
,1.731,-1.0,6.0,38.0
,1.727,-2.0,2.0,35.0
,1.732,3.0,7.0,32.0
,1.739,4.0,-1.0,35.0
,1.736,-1.0,1.0,32.0
,1.74,3.0,5.0,35.0
,1.744,2.0,14.0,40.0
,1.746,1.0,11.0,40.0
,1.746,0.0,15.0,37.0
,1.743,-2.0,4.0,32.0
,1.742,-1.0,-6.0,35.0
,1.739,-2.0,-8.0,40.0
,1.597,0.0,3.0,2.0
,1.594,-2.0,0.0,1.0
,1.591,-2.0,-1.0,0.0
,1.589,-1.0,-1.0,0.0
,1.586,0.0,-2.0,0.0
,1.585,1.0,1.0,0.0
,1.584,-1.0,0.0,0.0
,1.584,-1.0,-1.0,0.0
,1.584,-1.0,-2.0,0.0
,1.584,0.0,-2.0,-1.0
,1.584,0.0,-2.0,-1.0
,1.583,-1.0,-2.0,-1.0
,1.529,-1.0,-1.0,15.0
,1.527,-2.0,-1.0,13.0
,1.525,-2.0,-1.0,11.0
,1.523,-3.0,-2.0,10.0
,1.52,-3.0,-3.0,9.0
,1.518,-4.0,-3.0,8.0
,1.516,-4.0,-4.0,6.0
,1.514,-5.0,-4.0,5.0
,1.512,-5.0,-5.0,3.0
,1.51,-6.0,-5.0,2.0
,1.508,-6.0,-6.0,0.0
,1.507,-6.0,-7.0,-1.0
,1.53,0.0,1.0,13.0
,1.53,0.0,-3.0,10.0
,1.53,0.0,-2.0,6.0
,1.53,0.0,-1.0,5.0
,1.529,2.0,6.0,6.0
,1.526,-1.0,3.0,3.0
,1.528,3.0,5.0,8.0
,1.524,4.0,13.0,9.0
,1.518,4.0,-3.0,12.0
,1.512,1.0,-1.0,9.0
,1.51,1.0,2.0,8.0
,1.509,0.0,2.0,6.0
,1.518,2.0,5.0,7.0
,1.52,1.0,3.0,6.0
,1.522,1.0,4.0,8.0
,1.525,2.0,6.0,10.0
,1.528,2.0,7.0,11.0
,1.53,2.0,8.0,13.0
,1.533,2.0,9.0,15.0
,1.535,1.0,7.0,14.0
,1.536,1.0,6.0,12.0
,1.537,1.0,5.0,11.0
,1.538,1.0,4.0,9.0
,1.538,0.0,4.0,7.0
,1.511,-2.0,-5.0,-21.0
,1.509,-1.0,-6.0,-22.0
,1.506,-2.0,-7.0,-24.0
,1.503,-2.0,-8.0,-26.0
,1.5,-2.0,-10.0,-27.0
,1.497,-3.0,-11.0,-29.0
,1.493,-3.0,-12.0,-31.0
,1.49,-4.0,-12.0,-32.0
,1.486,-4.0,-13.0,-34.0
,1.483,-4.0,-14.0,-35.0
,1.48,-4.0,-14.0,-36.0
,1.477,-4.0,-15.0,-37.0
,1.875,-7.0,-7.0,-61.0
,1.86,-8.0,-8.0,-67.0
,1.832,-15.0,-14.0,-75.0
,1.803,-16.0,-29.0,-75.0
,1.774,-16.0,-31.0,-75.0
,1.75,-13.0,-21.0,-75.0
,1.729,-12.0,-17.0,-78.0
,1.712,-10.0,-21.0,-86.0
,1.705,-4.0,-15.0,-90.0
,1.693,-7.0,-17.0,-92.0
,1.682,-6.0,-21.0,-95.0
,1.659,-14.0,-35.0,-98.0
,1.659,-14.0,-35.0,-98.0
,1.682,-6.0,-21.0,-95.0
,1.693,-7.0,-17.0,-92.0
,1.705,-4.0,-15.0,-90.0
,1.712,-10.0,-21.0,-86.0
,1.729,-12.0,-17.0,-78.0
,1.75,-13.0,-21.0,-75.0
,1.774,-16.0,-31.0,-75.0
,1.803,-16.0,-29.0,-75.0
,1.832,-15.0,-14.0,-75.0
,1.86,-8.0,-8.0,-67.0
,1.875,-7.0,-7.0,-61.0
,1.759,3.0,15.0,14.0
,1.752,-4.0,3.0,13.0
,1.765,8.0,6.0,17.0
,1.775,5.0,9.0,24.0
,1.786,6.0,19.0,41.0
,1.795,5.0,17.0,63.0
,1.805,6.0,17.0,52.0
,1.805,0.0,11.0,49.0
,1.797,-5.0,1.0,44.0
,1.802,3.0,-2.0,40.0
,1.81,4.0,3.0,36.0
,1.809,-1.0,7.0,32.0
,1.735,-2.0,10.0,37.0
,1.73,-3.0,-2.0,28.0
,1.736,4.0,-1.0,28.0
,1.732,-2.0,-1.0,24.0
,1.716,-10.0,-8.0,13.0
,1.688,-16.0,-28.0,-11.0
,1.716,17.0,-9.0,3.0
,1.721,3.0,3.0,0.0
,1.721,0.0,20.0,5.0
,1.733,7.0,10.0,8.0
,1.747,8.0,15.0,7.0
,1.754,4.0,19.0,9.0
,2.017,-23.0,-58.0,-113.0
,2.066,-5.0,-40.0,-101.0
,2.077,-22.0,-45.0,-101.0
,2.126,-8.0,-18.0,-76.0
,2.143,1.0,-26.0,-68.0
,2.154,-3.0,-14.0,-44.0
,2.161,-6.0,-18.0,-38.0
,2.174,-2.0,-12.0,-22.0
,2.178,-6.0,-7.0,-18.0
,2.191,2.0,11.0,-3.0
,2.187,3.0,6.0,2.0
,2.126,-22.0,-45.0,-101.0
,2.187,3.0,6.0,2.0
,2.191,2.0,11.0,-3.0
,2.178,-6.0,-7.0,-18.0
,2.174,-2.0,-12.0,-22.0
,2.161,-6.0,-18.0,-38.0
,2.154,-3.0,-14.0,-44.0
,2.142,-6.0,-27.0,-62.0
,2.143,1.0,-26.0,-68.0
,2.126,-8.0,-18.0,-76.0
,2.077,-22.0,-45.0,-101.0
,2.066,-5.0,-40.0,-101.0
,2.017,-23.0,-58.0,-113.0
,2.195,5.0,14.0,21.0
,2.199,2.0,9.0,18.0
,2.203,2.0,9.0,15.0
,2.207,2.0,7.0,12.0
,2.21,1.0,5.0,9.0
,2.213,1.0,5.0,7.0
,2.215,1.0,2.0,4.0
,2.217,1.0,1.0,2.0
,2.218,0.0,-1.0,0.0
,2.218,0.0,-2.0,-2.0
,2.218,0.0,-5.0,-4.0
,2.218,0.0,-6.0,-6.0
